"run_number","value","variable","BETA"
39,494.43948247905,"CO2_concentration",0.750682082519017
40,549.682516637049,"CO2_concentration",0.51528109741215
41,506.873853419043,"CO2_concentration",0.691109433069751
42,507.652532733209,"CO2_concentration",0.68720668037108
43,503.815264361089,"CO2_concentration",0.701091639236048
44,515.151581438655,"CO2_concentration",0.650677564626579
45,488.176872097453,"CO2_concentration",0.785801685895539
46,506.581747605019,"CO2_concentration",0.692578985613759
47,491.760657439722,"CO2_concentration",0.765498218070672
48,537.849573973999,"CO2_concentration",0.553899357557755
49,511.867741772078,"CO2_concentration",0.666442993777449
50,498.42156581286,"CO2_concentration",0.729202050927328
1,2.34313395625113,"gmst",0.629240949062309
2,2.20933476873141,"gmst",0.73839990772411
3,2.22949464274356,"gmst",0.720289979215713
4,2.3085037106698,"gmst",0.65772979338255
5,2.38912576554108,"gmst",0.596194217732068
6,2.32604801106185,"gmst",0.643194035919297
7,2.13364786658534,"gmst",0.808972470689893
8,2.43605441805086,"gmst",0.56008151333621
9,2.29969004389883,"gmst",0.665113634660368
10,2.24040549475575,"gmst",0.710625010655263
11,2.48545400147947,"gmst",0.523443703166092
12,2.38729364998104,"gmst",0.597631244718568
13,2.07278395375521,"gmst",0.888357891929044
14,2.38695296201187,"gmst",0.597898695569381
15,2.64562329337793,"gmst",0.417803640002401
16,2.08811018352967,"gmst",0.872312843402963
17,2.39616455694878,"gmst",0.590692706991211
18,2.13311444919472,"gmst",0.826611032835706
19,2.13553835297181,"gmst",0.807168694891633
20,2.33628215766896,"gmst",0.634812720638992
21,2.44374941002213,"gmst",0.554284191734439
22,2.40068570720038,"gmst",0.58717509398368
23,2.41352685608302,"gmst",0.577252096723007
24,2.31298395854829,"gmst",0.653997428713974
25,2.56784402662076,"gmst",0.467517357145662
26,2.29482064691361,"gmst",0.669216872129349
27,2.36607690464088,"gmst",0.614426913530035
28,2.23684014991481,"gmst",0.713772862739458
29,2.23588064693345,"gmst",0.714621724022087
30,2.41845031583723,"gmst",0.573473811002267
31,2.32091145685748,"gmst",0.647427640640169
32,2.25603979876705,"gmst",0.696938586200072
33,2.13113506899217,"gmst",0.828578327895781
34,2.10346590974036,"gmst",0.85648660749892
35,2.38398500168574,"gmst",0.600231709964534
36,2.41804112857584,"gmst",0.573787272353784
37,2.12135386380651,"gmst",0.820784757003641
38,2.24304736545307,"gmst",0.708298942701718
39,2.19587035646074,"gmst",0.750682082519017
40,2.50657880769318,"gmst",0.51528109741215
41,2.2691791097866,"gmst",0.691109433069751
42,2.27370872235842,"gmst",0.68720668037108
43,2.25127276768217,"gmst",0.701091639236048
44,2.31698330919815,"gmst",0.650677564626579
45,2.15820125039595,"gmst",0.785801685895539
46,2.26747814066893,"gmst",0.692578985613759
47,2.17984806906113,"gmst",0.765498218070672
48,2.44426181672854,"gmst",0.553899357557755
49,2.29811025089596,"gmst",0.666442993777449
50,2.21952772189282,"gmst",0.729202050927328
